Median Houses  Prices 4th Quarter 2020,,,,,,,,Change %,Change %
SUBURB,Oct - Dec 19,Jan - Mar 20,Apr- Jun 20,Jul - Sep 20,Oct - Dec 20,No of sales ,No of Sales ,Oct - Dec 19,Jul - Sep 20
,,,,,,Oct - Dec 20,YTD,Oct - Dec 20,Oct - Dec 20
ABBOTSFORD,1155000,1230000,1080000,1260000,1230000,20,53,6.5,-2.4
ABERFELDIE,1650000,1732500,1375000,1800000,1780000,9,35,7.9,-1.1
AINTREE,620100,675000,705000,730000,687800,52,116,10.9,-5.8
AIREYS INLET,1400000,1050000,1130000,1300000,1365000,6,26,-2.5,5.0
AIRPORT WEST,851000,832500,798500,785000,820000,31,101,-3.6,4.5
ALBANVALE,517000,551500,505000,505000,580000,21,55,12.2,14.9
ALBERT PARK,2220000,2040000,1800000,1738800,2010000,29,88,-9.5,15.6
ALBION,737500,765000,571000,755000,720000,10,22,-2.4,-4.6
ALEXANDRA,325000,388500,395000,340000,455000,13,55,40.0,33.8
ALFREDTON,485100,500000,500000,505000,528000,71,234,8.8,4.6
ALPHINGTON,1717500,1435500,1930000,1865000,1885000,12,31,9.8,1.1
ALTONA,947000,1010000,925000,820000,935000,35,112,-1.3,14.0
ALTONA EAST,855000,802500,858500,805000,940000,17,37,9.9,16.8
ALTONA MEADOWS,612500,650000,600000,625000,680000,23,74,11.0,8.8
ALTONA NORTH,800500,832500,800000,907500,845000,30,119,5.6,-6.9
ANGLESEA,1115000,965000,863000,1035000,1260000,30,96,13.0,21.7
APOLLO BAY,557500,730000,590000,640000,770000,17,40,38.1,20.3
ARARAT,227500,234000,240000,278000,243800,46,174,7.1,-12.3
ARDEER,572000,600000,575000,630000,625000,13,27,9.3,-0.8
ARMADALE,3100000,2435000,2625000,2054000,2714000,26,69,-12.5,32.1
ARMSTRONG CREEK,527500,531800,550000,570000,577500,76,239,9.5,1.3
ASCOT (GREATER BENDIGO),415000,453800,450000,480000,472500,18,46,13.9,-1.6
ASCOT VALE,1030000,1206000,1280000,1332500,1231500,46,142,19.6,-7.6
ASHBURTON,1722500,1527500,1528000,1666800,1660000,33,82,-3.6,-0.4
ASHWOOD,1219400,1156500,1240000,1210500,1271000,18,47,4.2,5.0
ASPENDALE,963000,1215000,1031500,1115000,1095000,25,82,13.7,-1.8
ASPENDALE GARDENS,881500,925000,985000,1002500,970000,17,37,10.0,-3.2
ATTWOOD,632000,680000,813800,714000,774800,12,27,22.6,8.5
AVENEL,370000,445000,535000,472500,395000,2,12,6.8,-16.4
AVOCA,230000,265000,225000,235000,313000,6,21,36.1,33.2
AVONDALE HEIGHTS,856000,847500,800500,837500,870000,31,102,1.6,3.9
BACCHUS MARSH,505000,493000,525000,525500,506500,42,141,0.3,-3.6
BADGER CREEK,498000,497500,572500,525000,570000,9,19,14.5,8.6
BAIRNSDALE,286000,293800,277500,284000,315000,81,234,10.1,10.9
BALACLAVA,1361000,1436000,1390000,1414000,1311000,10,32,-3.7,-7.3
BALCOMBE,1103000,1070000,1332500,1185000,1342000,47,122,21.7,13.2
BALLAN,451000,534500,470000,472500,490000,17,51,8.6,3.7
BALLARAT CENTRAL,522500,590000,550000,530000,577500,36,119,10.5,9.0
BALLARAT EAST,383000,375500,370000,390000,460000,41,131,20.1,17.9
BALLARAT NORTH,478800,425000,421000,381500,480000,22,74,0.3,25.8
BALNARRING,800000,970000,782500,1015000,1000000,15,31,25.0,-1.5
BALNARRING BEACH,1275000,1175000,1138500,1350000,1250000,9,19,-2.0,-7.4
BALWYN,2404000,2267500,2140000,2180000,2358000,45,116,-1.9,8.2
BALWYN NORTH,1917400,2000100,1870000,1819400,1800000,77,233,-6.1,-1.1
BANDIANA,400300,369000,456300,325000,570000,1,9,42.4,75.4
BANNOCKBURN,547500,567500,555000,550000,602000,22,91,10.0,9.5
BARANDUDA,407500,449000,398500,409500,423000,16,33,3.8,3.3
BARNAWARTHA,357000,432500,327500,345000,320000,7,14,-10.4,-7.2
BARWON HEADS,1087500,1495000,1005000,1125000,1383500,24,80,27.2,23.0
BAXTER,569000,541500,577500,566000,575000,14,34,1.1,1.6
BAYSWATER,800000,755000,747000,700000,751000,27,88,-6.1,7.3
BAYSWATER NORTH,695600,759500,690000,788000,730500,38,89,5.0,-7.3
BEACONSFIELD,640000,710000,765000,672500,750000,37,102,17.2,11.5
BEAUFORT,238500,294500,320000,322500,347500,14,31,45.7,7.8
BEAUMARIS,1637500,1690000,1800000,1690000,1700000,60,138,3.8,0.6
BEECHWORTH,504000,480000,439100,497500,580000,27,68,15.1,16.6
BELGRAVE,691000,664100,641000,650000,710000,29,66,2.7,9.2
BELGRAVE HEIGHTS,622500,702500,750000,750000,800000,5,16,28.5,NA
BELGRAVE SOUTH,697500,697500,665000,782500,862500,7,11,23.7,10.2
BELL PARK,480000,500800,500000,495000,492500,22,82,2.6,-0.5
BELL POST HILL,476000,560000,492500,497400,533000,22,82,12.0,7.2
BELLFIELD (BANYULE),750000,735000,910000,750000,875000,9,22,16.7,16.7
BELMONT,561000,575500,582500,615000,610000,76,258,8.7,-0.8
BENALLA,292000,298000,269500,310000,322600,82,216,10.5,4.0
BENDIGO,413000,430000,506000,500000,550000,36,123,33.2,10.0
BENTLEIGH,1411000,1510000,1469000,1500000,1550000,43,115,9.9,3.3
BENTLEIGH EAST,1250000,1260800,1155000,1150000,1302500,104,283,4.2,13.3
BERWICK,675000,715000,680000,674400,715000,239,619,5.9,6.0
BEVERIDGE,550000,600000,555000,532000,540000,11,41,-1.8,1.5
