Suburb,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Postcode,Average income,Lat,Lng
ABBOTSFORD,730000.0,730000.0,714000.0,792500.0,862500.0,925000.0,1187500.0,1280000.0,1192500.0,1030000.0,1150000.0,3067,71646.48744345656,-37.803000000000004,145.002
ABERFELDIE,994000.0,994000.0,852500.0,947500.0,1045000.0,1207500.0,1300000.0,1453000.0,1500000.0,1390000.0,1592500.0,3040,78506.78717919982,-37.762,144.901
AIREYS INLET,680000.0,680000.0,634000.0,664000.0,625500.0,680000.0,715000.0,737500.0,869000.0,985000.0,1005000.0,3231,57331.72558139535,-38.461511,144.10576609999998
AIRPORT WEST,557500.0,557500.0,495000.0,532000.0,575000.0,635000.0,742000.0,845000.0,847500.0,790000.0,900000.0,3042,61603.53271028037,-37.726234000000005,144.88135259999999
ALBANVALE,317000.0,317000.0,310000.0,313000.0,326500.0,345000.0,439000.0,526500.0,546000.0,512000.0,563000.0,3021,42223.78227998957,-37.746,144.765
ALBERT PARK,1390000.0,1390000.0,1265000.0,1360000.0,1503000.0,1700000.0,1775000.0,2150000.0,2070000.0,1965000.0,1110000.0,3206,142702.30460978005,-37.8438609,144.95145359999998
ALBION,400000.0,400000.0,379500.0,379000.0,432000.0,481000.0,593000.0,730000.0,755000.0,675000.0,765000.0,3020,45106.04550978502,-37.7755151,144.81544480000002
ALEXANDRA,255000.0,255000.0,239000.0,261000.0,247500.0,285000.0,275000.0,291500.0,335000.0,325500.0,385000.0,3714,45580.4340527578,-37.1943946,145.7080742
ALFREDTON,333000.0,333000.0,340000.0,361500.0,362000.0,340500.0,375000.0,412500.0,439000.0,480000.0,500000.0,3350,56145.194797098164,-37.555,143.8
ALTONA,575000.0,575000.0,570000.0,575000.0,646500.0,718000.0,825000.0,950000.0,932500.0,882500.0,888500.0,3018,66631.63754530683,-37.863151200000004,144.81202180000002
ALTONA EAST,523000.0,523000.0,550000.0,561000.0,605000.0,650000.0,795000.0,885000.0,895000.0,842500.0,852500.0,3018,66631.63754530683,-37.863151200000004,144.81202180000002
ALTONA MEADOWS,395000.0,395000.0,375000.0,390000.0,415000.0,440000.0,495000.0,625000.0,631500.0,617500.0,650000.0,3028,52982.041227966394,-37.8715626,144.7775818
ALTONA NORTH,520000.0,520000.0,484000.0,510000.0,555000.0,645000.0,726000.0,828000.0,840000.0,788500.0,845000.0,3025,59443.89623087841,-37.838476299999996,144.847051
ANGLESEA,600500.0,600500.0,587500.0,550000.0,612500.0,635000.0,652500.0,788000.0,861000.0,905000.0,1015000.0,3230,53050.94776119403,-38.4096639,144.18251709999998
APOLLO BAY,495000.0,495000.0,432500.0,450000.0,460000.0,435000.0,480000.0,545000.0,550000.0,597500.0,680000.0,3233,43456.75768667643,-38.7551525,143.6675853
ARARAT,169000.0,169000.0,165000.0,180000.0,200000.0,210000.0,204500.0,200000.0,199000.0,216500.0,228000.0,3377,46784.56115685881,-37.2846464,142.9316441
ARDEER,360000.0,360000.0,342500.0,330000.0,360000.0,381500.0,517500.0,595000.0,629000.0,571500.0,590000.0,3022,48938.83468559838,-37.7728857,144.8018125
ARMADALE,1615000.0,1615000.0,1500000.0,1675000.0,1750000.0,2172500.0,2367500.0,2300000.0,2341500.0,2462500.0,2325000.0,3143,106775.49630488336,-37.8554995,145.0206967
ASCOT (GREATER BENDIGO),323500.0,323500.0,350000.0,349500.0,344500.0,349000.0,370000.0,358000.0,380000.0,415500.0,454000.0,3551,54901.89786336059,-36.711109,144.33246200000002
ASCOT VALE,735000.0,735000.0,701500.0,735000.0,810000.0,885000.0,1020000.0,1192500.0,1200000.0,1088500.0,1102000.0,3032,66868.51338274655,-37.77674440000001,144.9110705
ASHBURTON,890000.0,890000.0,870000.0,1000000.0,1200000.0,1435000.0,1567500.0,1812500.0,1712500.0,1651000.0,1480000.0,3147,76765.66089545656,-37.866944000000004,145.083056
ASHWOOD,749000.0,749000.0,681000.0,775000.0,888000.0,1140000.0,1230000.0,1359000.0,1210000.0,1100000.0,1099000.0,3147,76765.66089545656,-37.867,145.10299999999998
ASPENDALE,630000.0,630000.0,610000.0,620000.0,690000.0,795500.0,891000.0,1125000.0,980000.0,994000.0,1167500.0,3195,68495.18667730353,-38.025,145.10399999999998
ASPENDALE GARDENS,550000.0,550000.0,552000.0,586500.0,632000.0,715000.0,775000.0,882500.0,935000.0,844000.0,898500.0,3195,68495.18667730353,-38.022778,145.118889
ATTWOOD,592000.0,592000.0,500000.0,540000.0,515000.0,620000.0,660000.0,742500.0,750000.0,767500.0,672500.0,3049,55401.982694684804,-37.666,144.887
AVOCA,151000.0,151000.0,181500.0,182500.0,180000.0,182500.0,165000.0,212500.0,220000.0,219500.0,320000.0,3467,42942.08928571428,-37.088056,143.47388899999999
AVONDALE HEIGHTS,538000.0,538000.0,536000.0,532500.0,560000.0,650000.0,750000.0,845500.0,830000.0,810000.0,841000.0,3034,59216.82792601577,-37.762,144.863
BACCHUS MARSH,330000.0,330000.0,325000.0,335500.0,348000.0,355000.0,376000.0,415500.0,480000.0,500000.0,490000.0,3340,57808.90129950495,-37.676378899999996,144.4463206
BADGER CREEK,295000.0,295000.0,295000.0,315000.0,325000.0,345000.0,379000.0,465000.0,500000.0,498000.0,518500.0,3777,50892.161342109495,-37.685,145.53799999999998
BAIRNSDALE,235000.0,235000.0,231000.0,235000.0,244000.0,246500.0,255000.0,270000.0,276000.0,274000.0,290000.0,3875,46350.594813614254,-37.833333,147.616667
BALACLAVA,793500.0,793500.0,717500.0,860500.0,942000.0,1100000.0,1242500.0,1385500.0,1196000.0,1310000.0,1430000.0,3183,69940.58923160593,-37.873000000000005,144.993
BALLAN,310000.0,310000.0,305000.0,352000.0,330000.0,359000.0,370000.0,417000.0,462000.0,450000.0,505000.0,3342,70830.07223035628,-37.6146129,144.24156969999999
BALLARAT CENTRAL,320000.0,320000.0,313500.0,322000.0,327500.0,353000.0,385000.0,430000.0,446500.0,520000.0,590000.0,3350,56145.194797098164,-37.562158700000005,143.8502556
BALLARAT EAST,245000.0,245000.0,255000.0,265000.0,265000.0,275000.0,295000.0,310000.0,340000.0,360000.0,375500.0,3350,56145.194797098164,-37.56319999999999,143.869
BALLARAT NORTH,275000.0,275000.0,280000.0,296000.0,312000.0,315000.0,339500.0,346500.0,389000.0,413500.0,425000.0,3350,56145.194797098164,-37.5397,143.8676
BALNARRING,472500.0,472500.0,501500.0,525000.0,544000.0,595000.0,670000.0,815000.0,814500.0,825000.0,985000.0,3926,70063.4241332733,-38.371,145.118
BALNARRING BEACH,630000.0,630000.0,660000.0,750000.0,700000.0,887500.0,904000.0,890000.0,1115000.0,1275000.0,1175000.0,3926,70063.4241332733,-38.388993799999994,145.1182718
BALWYN,1363000.0,1363000.0,1295000.0,1530000.0,1782500.0,2210000.0,2180000.0,2335500.0,2420000.0,2392500.0,2321500.0,3103,86118.41022716471,-37.80888900000001,145.078889
BALWYN NORTH,1100000.0,1100000.0,997500.0,1240000.0,1452000.0,1850000.0,1800000.0,1950000.0,1810000.0,1700000.0,1910000.0,3104,80434.41562661546,-37.794657799999996,145.0848683
BANNOCKBURN,378000.0,378000.0,351500.0,370000.0,405000.0,389000.0,382000.0,430000.0,487500.0,529000.0,580000.0,3331,55711.73916449086,-38.05,144.166667
BARANDUDA,340000.0,340000.0,340000.0,345000.0,330000.0,323000.0,350000.0,350000.0,403500.0,395000.0,449000.0,3691,54142.68248407644,-36.19333659999999,146.94963049999998
BARNAWARTHA,220000.0,220000.0,222000.0,245000.0,220000.0,305000.0,245000.0,312000.0,280000.0,316000.0,432500.0,3688,52403.069879518065,-36.112928000000004,146.655462
BARWON HEADS,607500.0,607500.0,632500.0,742500.0,715000.0,773000.0,842500.0,920500.0,965000.0,1007500.0,1130000.0,3227,70753.9834839514,-38.2739835,144.4862111
BAXTER,320000.0,320000.0,315000.0,330500.0,325000.0,340000.0,403000.0,530000.0,542500.0,530000.0,541500.0,3911,54583.89966068832,-38.196,145.157
BAYSWATER,447500.0,447500.0,426500.0,458500.0,525000.0,632500.0,693000.0,801000.0,753000.0,715000.0,750500.0,3153,52230.613969694525,-37.843,145.268
BAYSWATER NORTH,436000.0,436000.0,426500.0,468500.0,490000.0,580000.0,628000.0,735000.0,713000.0,695000.0,759500.0,3153,52230.613969694525,-37.82700000000001,145.28
BEACONSFIELD UPPER,437500.0,437500.0,535000.0,470000.0,507500.0,602500.0,630000.0,725500.0,903500.0,787500.0,815000.0,3808,78105.658017644,-37.9982063,145.4237893
BEAUFORT,142500.0,142500.0,186000.0,186000.0,220000.0,205000.0,237500.0,220000.0,225000.0,242500.0,329000.0,3373,43614.750409165295,-37.4228524,143.3703651
BEAUMARIS,1050000.0,1050000.0,997000.0,1074000.0,1129500.0,1345000.0,1455000.0,1611000.0,1674000.0,1582500.0,1610000.0,3193,92024.0809908774,-37.983000000000004,145.0434
BEECHWORTH,320000.0,320000.0,304500.0,295000.0,295000.0,332000.0,345000.0,399000.0,400000.0,472000.0,480000.0,3747,49141.340106951866,-36.3533015,146.6877247
BELGRAVE,375000.0,375000.0,390000.0,410000.0,426000.0,482500.0,545000.0,620000.0,676000.0,636000.0,664000.0,3160,59785.15719063545,-37.912067,145.3558
BELGRAVE HEIGHTS,382000.0,382000.0,399000.0,430000.0,480000.0,590500.0,624000.0,687500.0,701500.0,685000.0,702500.0,3160,59785.15719063545,-37.923,145.34
BELL PARK,315000.0,315000.0,290500.0,314000.0,323500.0,340000.0,360000.0,400000.0,452500.0,482000.0,510000.0,3215,54563.18455870039,-38.11,144.338
BELL POST HILL,320000.0,320000.0,328000.0,328000.0,333500.0,344500.0,355000.0,435000.0,487000.0,475000.0,567500.0,3215,54563.18455870039,-38.1,144.328
BELLBRIDGE,280000.0,280000.0,318000.0,297500.0,355000.0,285000.0,330000.0,347500.0,395000.0,368500.0,524500.0,3691,54142.68248407644,-36.098056,147.058889
BELLFIELD (BANYULE),550500.0,550500.0,510000.0,516000.0,582500.0,700000.0,778000.0,897000.0,879500.0,770000.0,735000.0,3081,51783.0222163097,-37.754,145.045
BELMONT,345000.0,345000.0,350000.0,360000.0,362000.0,395000.0,430000.0,500000.0,545000.0,545000.0,570000.0,3216,55101.450297268566,-38.173,144.341
BENALLA,225000.0,225000.0,216500.0,228000.0,235500.0,222500.0,231500.0,250000.0,284000.0,290000.0,260000.0,3672,46084.371706964994,-36.5462177,145.963353
BENDIGO,290000.0,290000.0,335000.0,340000.0,376500.0,372000.0,400000.0,400000.0,400000.0,420000.0,432500.0,3550,52519.36090651558,-36.757015700000004,144.2793906
BENTLEIGH,882000.0,882000.0,820000.0,900000.0,1050000.0,1245000.0,1380000.0,1470000.0,1397500.0,1382500.0,1432500.0,3204,69608.71432882361,-37.9224386,145.0410079
BENTLEIGH EAST,720000.0,720000.0,680000.0,750000.0,850000.0,1000500.0,1115000.0,1256000.0,1205000.0,1200000.0,1261000.0,3165,64946.230249511056,-37.9211364,145.059135
BERWICK,440000.0,440000.0,451000.0,453000.0,487500.0,535000.0,583000.0,670000.0,691500.0,673500.0,701500.0,3806,63455.510884051524,-38.030944299999994,145.3437469
BEULAH,69000.0,69000.0,75000.0,42500.0,101000.0,65000.0,65000.0,96000.0,120500.0,77000.0,81000.0,3395,55732.0390625,-35.938056,142.42
BIRCHIP,77000.0,77000.0,87500.0,120000.0,90000.0,121500.0,55000.0,100000.0,100000.0,107500.0,115000.0,3483,47708.31843575419,-35.9833179,142.9145594
BITTERN,365000.0,365000.0,382500.0,402000.0,390000.0,382500.0,464000.0,526500.0,650000.0,577500.0,620000.0,3918,53351.16381111575,-38.339,145.175
BLACK HILL,292000.0,292000.0,260000.0,283500.0,321500.0,296500.0,315000.0,370000.0,405000.0,495000.0,420000.0,3350,56145.194797098164,-37.5502577,143.875336
BLACK ROCK,1237500.0,1237500.0,1175000.0,1225000.0,1400000.0,1545000.0,1745000.0,2017500.0,2029000.0,1777500.0,1617500.0,3193,92024.0809908774,-37.972,145.02100000000002
BLACKBURN,786000.0,786000.0,750000.0,860500.0,936000.0,1200500.0,1241000.0,1410500.0,1370500.0,1300000.0,1380500.0,3130,63544.42269588713,-37.8197129,145.1530529
BLACKBURN NORTH,617500.0,617500.0,609000.0,692000.0,790000.0,921500.0,1040000.0,1140500.0,1038000.0,1010000.0,1116500.0,3130,63544.42269588713,-37.806405100000006,145.15864440000001
BLACKBURN SOUTH,636500.0,636500.0,632000.0,697500.0,780000.0,920500.0,1050000.0,1200000.0,1050000.0,1038000.0,1170000.0,3130,63544.42269588713,-37.838,145.144
BLAIRGOWRIE,600000.0,600000.0,580000.0,609000.0,627500.0,621500.0,770000.0,883000.0,986000.0,925000.0,955000.0,3942,60476.30498338871,-38.36,144.769
BLIND BIGHT,358000.0,358000.0,319000.0,362500.0,343000.0,401000.0,440000.0,514000.0,546000.0,552500.0,630000.0,3980,55081.92853598014,-38.21386270000001,145.339912
BONBEACH,555000.0,555000.0,535000.0,580000.0,635000.0,700000.0,778000.0,882500.0,910000.0,850000.0,903000.0,3196,61535.588477101934,-38.062,145.12
BONNIE DOON,215000.0,215000.0,262500.0,250000.0,275000.0,290000.0,290000.0,315000.0,417500.0,420000.0,290000.0,3720,42236.40412979351,-37.0868493,145.8615582
BOORT,164000.0,164000.0,107000.0,157500.0,162500.0,130000.0,200500.0,215000.0,180000.0,185000.0,136500.0,3537,44945.650897226755,-36.1169559,143.7250526
BORONIA,440000.0,440000.0,430000.0,459500.0,500500.0,592500.0,648500.0,735000.0,742500.0,684500.0,725000.0,3155,51706.01335793358,-37.8626744,145.28565519999998
BOTANIC RIDGE,475000.0,475000.0,500000.0,492000.0,519000.0,565000.0,600000.0,690000.0,730000.0,700000.0,693000.0,3977,51538.533920372785,-38.144,145.267
BOX HILL,975000.0,975000.0,852000.0,855000.0,1067000.0,1350000.0,1360500.0,1752500.0,1700000.0,1528000.0,1620000.0,3128,51797.74272076372,-37.818107299999994,145.1238563
BOX HILL NORTH,678000.0,678000.0,648500.0,746000.0,856500.0,1060000.0,1146000.0,1321000.0,1188000.0,1200000.0,1272500.0,3129,60832.491593427585,-37.8083033,145.12575900000002
BOX HILL SOUTH,770000.0,770000.0,715000.0,785000.0,910000.0,1153000.0,1255000.0,1409000.0,1285500.0,1154000.0,1370000.0,3128,51797.74272076372,-37.836,145.124
BRAYBROOK,443000.0,443000.0,396000.0,424000.0,479500.0,550000.0,629000.0,665500.0,719000.0,630000.0,690000.0,3019,44059.25738575983,-37.7859028,144.8587417
BRIAR HILL,545500.0,545500.0,541000.0,572500.0,633000.0,680000.0,721500.0,833000.0,880000.0,817000.0,962000.0,3088,60374.31573986805,-37.708,145.115
BRIGHT,335000.0,335000.0,340000.0,325000.0,349000.0,392500.0,429500.0,495000.0,590000.0,580000.0,645000.0,3741,45841.67102615693,-36.7321521,146.9836221
