Suburb,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Postcode
ABBOTSFORD,730000.0,714000.0,792500.0,862500.0,925000.0,1187500.0,1280000.0,1192500.0,1030000.0,1150000.0,3067
ABERFELDIE,994000.0,852500.0,947500.0,1045000.0,1207500.0,1300000.0,1453000.0,1500000.0,1390000.0,1592500.0,3040
AIREYS INLET,680000.0,634000.0,664000.0,625500.0,680000.0,715000.0,737500.0,869000.0,985000.0,1005000.0,3231
AIRPORT WEST,557500.0,495000.0,532000.0,575000.0,635000.0,742000.0,845000.0,847500.0,790000.0,900000.0,3042
ALBANVALE,317000.0,310000.0,313000.0,326500.0,345000.0,439000.0,526500.0,546000.0,512000.0,563000.0,3021
ALBERT PARK,1390000.0,1265000.0,1360000.0,1503000.0,1700000.0,1775000.0,2150000.0,2070000.0,1965000.0,1110000.0,3206
ALBION,400000.0,379500.0,379000.0,432000.0,481000.0,593000.0,730000.0,755000.0,675000.0,765000.0,3020
ALEXANDRA,255000.0,239000.0,261000.0,247500.0,285000.0,275000.0,291500.0,335000.0,325500.0,385000.0,3714
ALFREDTON,333000.0,340000.0,361500.0,362000.0,340500.0,375000.0,412500.0,439000.0,480000.0,500000.0,3350
ALTONA,575000.0,570000.0,575000.0,646500.0,718000.0,825000.0,950000.0,932500.0,882500.0,888500.0,3018
ALTONA EAST,523000.0,550000.0,561000.0,605000.0,650000.0,795000.0,885000.0,895000.0,842500.0,852500.0,3018
ALTONA MEADOWS,395000.0,375000.0,390000.0,415000.0,440000.0,495000.0,625000.0,631500.0,617500.0,650000.0,3028
ALTONA NORTH,520000.0,484000.0,510000.0,555000.0,645000.0,726000.0,828000.0,840000.0,788500.0,845000.0,3025
ANGLESEA,600500.0,587500.0,550000.0,612500.0,635000.0,652500.0,788000.0,861000.0,905000.0,1015000.0,3230
APOLLO BAY,495000.0,432500.0,450000.0,460000.0,435000.0,480000.0,545000.0,550000.0,597500.0,680000.0,3233
ARARAT,169000.0,165000.0,180000.0,200000.0,210000.0,204500.0,200000.0,199000.0,216500.0,228000.0,3377
ARDEER,360000.0,342500.0,330000.0,360000.0,381500.0,517500.0,595000.0,629000.0,571500.0,590000.0,3022
ARMADALE,1615000.0,1500000.0,1675000.0,1750000.0,2172500.0,2367500.0,2300000.0,2341500.0,2462500.0,2325000.0,3143
ARMSTRONG CREEK,205000.0,362500.0,467500.0,441500.0,440000.0,450000.0,471000.0,535000.0,540000.0,530500.0,3217
ASCOT (GREATER BENDIGO),323500.0,350000.0,349500.0,344500.0,349000.0,370000.0,358000.0,380000.0,415500.0,454000.0,3551
ASCOT VALE,735000.0,701500.0,735000.0,810000.0,885000.0,1020000.0,1192500.0,1200000.0,1088500.0,1102000.0,3032
ASHBURTON,890000.0,870000.0,1000000.0,1200000.0,1435000.0,1567500.0,1812500.0,1712500.0,1651000.0,1480000.0,3147
ASHWOOD,749000.0,681000.0,775000.0,888000.0,1140000.0,1230000.0,1359000.0,1210000.0,1100000.0,1099000.0,3147
ASPENDALE,630000.0,610000.0,620000.0,690000.0,795500.0,891000.0,1125000.0,980000.0,994000.0,1167500.0,3195
ASPENDALE GARDENS,550000.0,552000.0,586500.0,632000.0,715000.0,775000.0,882500.0,935000.0,844000.0,898500.0,3195
ATTWOOD,592000.0,500000.0,540000.0,515000.0,620000.0,660000.0,742500.0,750000.0,767500.0,672500.0,3049
AVOCA,151000.0,181500.0,182500.0,180000.0,182500.0,165000.0,212500.0,220000.0,219500.0,320000.0,3467
AVONDALE HEIGHTS,538000.0,536000.0,532500.0,560000.0,650000.0,750000.0,845500.0,830000.0,810000.0,841000.0,3034
BACCHUS MARSH,330000.0,325000.0,335500.0,348000.0,355000.0,376000.0,415500.0,480000.0,500000.0,490000.0,3340
BADGER CREEK,295000.0,295000.0,315000.0,325000.0,345000.0,379000.0,465000.0,500000.0,498000.0,518500.0,3777
BAIRNSDALE,235000.0,231000.0,235000.0,244000.0,246500.0,255000.0,270000.0,276000.0,274000.0,290000.0,3875
BALACLAVA,793500.0,717500.0,860500.0,942000.0,1100000.0,1242500.0,1385500.0,1196000.0,1310000.0,1430000.0,3183
BALCOMBE,718500.0,686000.0,712500.0,737000.0,871000.0,950000.0,1100000.0,1240000.0,1109000.0,1007500.0,Australia
BALLAN,310000.0,305000.0,352000.0,330000.0,359000.0,370000.0,417000.0,462000.0,450000.0,505000.0,3342
BALLARAT CENTRAL,320000.0,313500.0,322000.0,327500.0,353000.0,385000.0,430000.0,446500.0,520000.0,590000.0,3350
BALLARAT EAST,245000.0,255000.0,265000.0,265000.0,275000.0,295000.0,310000.0,340000.0,360000.0,375500.0,3350
BALLARAT NORTH,275000.0,280000.0,296000.0,312000.0,315000.0,339500.0,346500.0,389000.0,413500.0,425000.0,3350
