Suburb,Lat,Lng
TOORAK,-37.8416709,145.013845
MIDDLE PARK,-37.851944,144.963056
BRIGHTON,-37.9043383,144.9931825
HAWTHORN,-37.8226005,145.0353696
PORTSEA,-38.32,144.713
MALVERN,-37.8572432,145.0341642
EAST MELBOURNE,-37.813,144.985
ARMADALE,-37.8554995,145.0206967
BALWYN,-37.80888900000001,145.078889
KEW NORTH,-37.8074324,145.0288674
CANTERBURY,-37.8242935,145.0829188
CAULFIELD NORTH,-37.8726442,145.0247002
KEW,-37.8074324,145.0288674
SYNDAL,-37.8766918,145.1494922
CAULFIELD,-37.884,145.0266
MONT ALBERT,-37.816111,145.11
ELSTERNWICK,-37.8849536,145.0059691
IVANHOE EAST,-37.772,145.066
BALWYN NORTH,-37.7946578,145.0848683
KEW EAST,-37.791629,145.0482331
BURNLEY,-37.8296728,145.0126479
MCKINNON,-37.91,145.039
GLEN IRIS,-37.8600246,145.0593297
HAWTHORN EAST,-37.8303331,145.047703
SOUTH YARRA,-37.84,144.989
CAMBERWELL,-37.8321474,145.0636941
PRAHRAN,-37.852,144.998
PORT MELBOURNE,-37.8332233,144.9124697
EAGLEMONT,-37.7644773,145.0628446
SANDRINGHAM,-37.9525,145.012311
ELWOOD,-37.8822486,144.9825759
CAULFIELD EAST,-37.8791959,145.0444397
BRIGHTON EAST,-37.9158819,145.0179852
CAULFIELD SOUTH,-37.891,145.026
PARK ORCHARDS,-37.77800000000001,145.214
MONT ALBERT NORTH,-37.808056,145.113889
ST KILDA EAST,-37.8626196,145.0007064
CREMORNE,-37.83,144.993
PARKVILLE,-37.7787036,144.9426083
HAMPTON,-37.937,145.009
SURREY HILLS,-37.82593809999999,145.0972417
LORNE,-38.5366556,143.9715484
BOX HILL,-37.8181073,145.1238563
BLACK ROCK,-37.972,145.021
MALVERN EAST,-37.8773116,145.059272
BEAUMARIS,-37.9909989,145.0284529
WESTGARTH,-37.7810214,144.9966951
ABERFELDIE,-37.762,144.901
FITZROY NORTH,-37.7832944,144.9838466
WILLIAMSTOWN,-37.861,144.885
ORMOND,-37.902081,145.0410692
SHOREHAM,-38.427,145.05
TEMPLESTOWE,-37.7525662,145.1350129
NOTTING HILL,-37.9048347,145.1458611
RESEARCH,-37.707,145.18
WINDSOR,-37.854,144.988
WEST MELBOURNE,-37.8089044,144.9290625
CARLTON,-37.8001,144.9671
MURRUMBEENA,-37.8978307,145.070895
LOWER PLENTY,-37.734,145.116
HUGHESDALE,-37.8966159,145.0832264
ASHBURTON,-37.866944,145.083056
WATERWAYS,-38.0147634,145.1305169
MANIFOLD HEIGHTS,-38.14,144.33
BENTLEIGH,-37.9224386,145.0410079
CLIFTON HILL,-37.7877787,145.0002125
BALACLAVA,-37.873,144.993
IVANHOE,-37.7703,145.0457
FINGAL,-38.421111,144.861111
SOUTH MELBOURNE,-37.835,144.96
ALPHINGTON,-37.78,145.023
FAIRHAVEN,-38.45611100000001,144.085833
CARLTON NORTH,-37.788805,144.9719823
MORDIALLOC,-37.9995418,145.0940302
FAIRFIELD,-37.7790074,145.0181267
BLACKBURN,-37.8197129,145.1530529
PRINCES HILL,-37.784,144.966
BOX HILL SOUTH,-37.836,145.124
SORRENTO,-38.338889,144.740833
DONVALE,-37.7963916,145.1791034
HIGHETT,-37.9490959,145.0460123
MOUNT WAVERLEY,-37.87523970000001,145.1290575
CARNEGIE,-37.8891994,145.0570577
ESSENDON NORTH,-37.7383196,144.8992556
DONCASTER EAST,-37.7891081,145.1619649
HEIDELBERG,-37.752695,145.0703364
MOONEE PONDS,-37.7665464,144.9195584
FLINDERS,-38.474,145.022
PATTERSON LAKES,-38.0742262,145.1431018
MOUNT ELIZA,-38.189,145.092
HUNTINGDALE,-37.9074344,145.1086176
BOX HILL NORTH,-37.8083033,145.125759
ST KILDA,-37.864,144.982
SEAHOLME,-37.86799999999999,144.841
NORTHCOTE,-37.7692917,144.9990291
BENTLEIGH EAST,-37.9211364,145.059135
DONCASTER,-37.787397,145.1248634
WHEELERS HILL,-37.9067871,145.1890123
HAMPTON EAST,-37.939,145.031
BULLEEN,-37.7671034,145.0926559
GLEN WAVERLEY,-37.87435019999999,145.1668205
MOUNT MARTHA,-38.267,145.018
CHADSTONE,-37.8810091,145.0959519
VERMONT SOUTH,-37.8565882,145.183373
RICHMOND,-37.823,144.998
COLLINGWOOD,-37.8019,144.98815
TEMPLESTOWE LOWER,-37.765,145.114
MOORABBIN,-37.9418897,145.0601819
BRUNSWICK,-37.7670374,144.9621035
PARKDALE,-37.991,145.08
CHELTENHAM,-37.9656436,145.0578515
NUNAWADING,-37.8184273,145.1760206
NARRE WARREN NORTH,-37.982,145.314
BURWOOD,-37.8494981,145.1090089
BALNARRING BEACH,-38.3889938,145.1182718
ESSENDON,-37.7504821,144.9143187
BLACKBURN SOUTH,-37.838,145.144
ASPENDALE,-38.025,145.104
THORNBURY,-37.7587658,144.9933434
KENSINGTON,-37.7941207,144.9276659
ABBOTSFORD,-37.803,145.002
COBURG,-37.7412988,144.9666108
FITZROY,-37.801111,144.978889
NORTH MELBOURNE,-37.799167,144.946667
SPOTSWOOD,-37.8292454,144.8813515
BARWON HEADS,-38.2739835,144.4862111
BURWOOD EAST,-37.8526163,145.1519822
EDITHVALE,-38.037,145.113
ROSANNA,-37.7409649,145.0683729
CLAYTON,-37.9145479,145.127492
BLACKBURN NORTH,-37.8064051,145.1586444
ALBERT PARK,-37.8438609,144.9514536
FLEMINGTON,-37.7833035,144.9277474
ASCOT VALE,-37.77674440000001,144.9110705
ASHWOOD,-37.867,145.103
BRUNSWICK WEST,-37.75864809999999,144.9448586
MITCHAM,-37.8163579,145.1936683
WANTIRNA SOUTH,-37.87695180000001,145.2329617
BRUNSWICK EAST,-37.7673388,144.9802463
CONNEWARRE,-38.2640693,144.4623088
KANGAROO GROUND SOUTH,-37.686,145.216
COONANS HILL,-37.7481364,144.9355407
WYE RIVER,-38.6381741,143.8899389
SEDDON,-37.8055831,144.891002
VERMONT,-37.838,145.198
MOUNT MACEDON,-37.4,144.583333
CHELTENHAM EAST,-37.9656436,145.0578515
CAPE SCHANCK,-38.461,144.905
ANGLESEA,-38.4096639,144.1825171
NEWPORT,-37.842,144.884
PRESTON,-37.7431353,145.0081354
BALCOMBE,-38.2544542,145.0602901
ELTHAM NORTH,-37.698,145.144
AIREYS INLET,-38.461511,144.1057661
NEWTOWN (GREATER GEELONG),-38.15,144.333
FOREST HILL,-37.8347413,145.1727369
WONGA PARK,-37.7355557,145.2696895
ESSENDON WEST,-37.755,144.883
STRATHMORE,-37.7358112,144.9191456
LAKE WENDOUREE,-37.549,143.847
ST ANDREWS BEACH,-38.419,144.83
WANDANA HEIGHTS,-38.1768917,144.3002702
OAKLEIGH,-37.8990236,145.0923305
QUEENSCLIFF,-38.2677746,144.6286897
SOUTH KINGSVILLE,-37.8300643,144.8703715
ST HELENA,-37.686,145.137
BALNARRING,-38.371,145.118
OAKLEIGH SOUTH,-37.9255978,145.0951545
VIEWBANK,-37.731,145.1
SAFETY BEACH,-38.322,144.986
RINGWOOD EAST,-37.818,145.252
MENTONE,-37.9812276,145.0647654
CHELTENHAM NORTH,-37.9656436,145.0578515
MACLEOD,-37.714,145.066
BRIAR HILL,-37.708,145.115
PLENTY,-37.669,145.117
MARIBYRNONG,-37.7695602,144.8820803
WILLIAMSTOWN NORTH,-37.8517597,144.8689963
BLAIRGOWRIE,-38.36,144.769
YARRAVILLE,-37.8202741,144.8821697
WARRANDYTE,-37.738,145.223
YALLAMBIE,-37.726,145.104
