Postcode,Average income
3000,59624.830489840795
3001,196345.83333333334
3002,185437.1623078997
3003,61479.06880530973
3004,119389.06798728295
3006,68855.09303665298
3008,66580.79984098588
3010,108856.96296296296
3011,56672.252318472216
3012,57534.41704117576
3013,76176.41141016316
3015,76194.07730807042
3016,87688.02579051383
3018,66631.63754530683
3019,44059.25738575983
3020,45106.04550978502
3021,42223.78227998957
3022,48938.83468559838
3023,53627.19749716907
3024,53172.65004533091
3025,59443.89623087841
3026,63393.80110497238
3027,58405.43492879747
3028,52982.0412279664
3029,50247.87480844041
3030,57932.39107001739
3031,68530.03710337769
3032,66868.51338274655
3033,61625.98544500119
3034,59216.827926015765
3036,68303.90431709164
3037,54350.52323204324
3038,56019.97016678412
3039,77379.60488058152
3040,78506.78717919982
3041,72131.62724715666
3042,61603.53271028037
3043,53728.03586166241
3044,63219.17031324725
3046,51742.57556190852
3047,39113.32163877669
3048,40304.68164583626
3049,55401.9826946848
3051,61332.35342185904
3052,63419.221755123486
3053,57770.28762222752
3054,80664.82484287133
3055,61398.8223656369
3056,63092.49203220902
3057,64198.92865245009
3058,59315.7317409913
3059,59971.373203096206
3060,46768.066107477964
3061,43571.337985172264
3062,80301.96031746031
3063,57224.209115281505
3064,48947.56433383064
3065,80098.1630834512
3066,69980.26065329133
3067,71646.48744345656
3068,85522.78345934991
3070,74352.44144852186
3071,64458.233114016824
3072,57361.669244322635
3073,50788.59022355332
3074,44957.506507381506
3075,46793.24074569619
3076,49231.260600706715
3078,79209.90068583487
3079,89529.67476933995
3081,51783.0222163097
3082,51548.05174651543
3083,50204.82308575176
3084,71867.05636177516
3085,63609.28133971292
3086,76945.9420289855
3087,58146.73924528302
3088,60374.31573986805
3089,67848.87122659534
3090,92034.89218009479
3091,80860.59964253799
3093,85435.93790064103
3094,62379.07684060043
3095,70645.77356557376
3096,60176.73464373464
3097,75597.63803680982
3099,61948.65074241446
3101,104399.15134020618
3102,83231.37637614679
3103,86118.41022716471
3104,80434.41562661546
3105,62072.88036083999
3106,76030.46904937361
3107,60190.65340699816
3108,57116.71754197928
3109,55364.6800967869
3111,71109.88601167809
3113,76119.80635890066
3114,90594.23179326547
3115,81320.34095860567
3116,58465.887315634216
3121,81748.72839948095
3122,106270.52321054207
3123,97108.24196328972
3124,93892.18350976396
3125,54193.12301401869
3126,127984.90645680558
3127,91531.75622747924
3128,51797.74272076372
3129,60832.49159342759
3130,63544.42269588712
3131,56153.48316846301
3132,61677.3604517611
3133,56853.30754866049
3134,61239.66149276612
3135,58371.506462102894
3136,56641.797486085
3137,54327.7988278914
3138,54868.03831019378
3139,53574.53251057022
3140,56071.73680669038
3141,106257.21741668436
3142,196816.36030922792
3143,106775.49630488335
3144,128720.09050334738
3145,94029.07313239013
3146,96432.61436950146
3147,76765.66089545655
3148,56622.90959473502
3149,60593.26230857143
3150,58410.97242883802
3151,50847.139939364926
3152,55218.3965034965
3153,52230.61396969452
3154,55955.81616011861
3155,51706.01335793358
3156,57861.10644792064
3158,56974.79468377635
3159,59956.532628962086
3160,59785.15719063545
3161,97907.90524874486
3162,83584.72619840213
3163,63886.935580346544
3164,74181.94047619047
3165,64946.230249511056
3166,59685.01294141942
3167,55549.63108155408
3168,42544.94414867873
3169,46826.61830924222
3170,55510.5358497222
3171,40726.99966130398
3172,49561.75149045355
3173,52724.362241703195
3174,42599.98349677111
3175,44498.309777936964
3177,41022.87342941611
3178,57707.236981689035
3179,53946.29029649596
3180,52673.77206363042
3181,80359.51798319328
3182,74963.60012326311
3183,69940.58923160593
3184,88315.5586400217
3185,92290.7821969697
3186,137485.19224632115
3187,104194.68948084775
3188,98007.25880375155
3189,61261.72713529856
3190,68470.25644311548
3191,96664.93728121354
3192,63464.02318273864
3193,92024.0809908774
3194,65775.87359802602
3195,68495.18667730354
3196,61535.588477101934
3197,66233.42907227617
3198,53705.08215384615
3199,54280.816796553256
3200,42515.842480100546
3201,51482.673176661265
3202,64240.284862932065
3204,69608.71432882361
3205,88994.04705589444
3206,142702.30460978003
3207,102133.5131137673
3211,66346.68199233717
3212,58819.0911413099
3213,60454.626310272535
3214,43430.423407407405
3215,54563.184558700385
3216,55101.45029726857
3217,57968.94162874627
3218,73394.2321959339
3219,49038.209678894884
3220,77651.72762194033
3221,71440.19221041983
3222,53366.55743732591
3223,51295.16761904762
3224,51282.04312213924
3225,60379.78814147018
3226,58351.7257227576
3227,70753.9834839514
3228,65440.09241630969
3230,53050.94776119403
3231,57331.725581395345
3232,61779.41869398207
3233,43456.75768667643
3234,67797.51818181819
3235,42729.19140625
3236,40753.34969325153
3237,29046.91129032258
3238,39127.416666666664
3239,41147.25098039216
3240,59081.03103709311
3241,49712.767890479154
3242,44560.58957654723
3243,44270.78542510122
3249,43526.418803418805
3250,47869.29553695955
3251,45545.30678466077
3254,41402.11173184358
3260,44447.619934282586
3264,44822.58351409978
3265,45123.69322709164
3266,42064.994940978075
3267,31793.36
3268,41552.638372093024
3269,54048.44565217391
3270,51838.743589743586
3271,36646.15789473684
3272,42857.21641791045
3273,53919.62637362637
3274,48900.03184713376
3275,48243.79044117647
3276,46220.36363636364
3277,53442.9687228497
3278,45465.023668639056
3279,48749.246231155776
3280,50076.496677141826
3281,51571.86825251601
